cycle,team,fish,x,z,heading,speed,assigned,pushing,wpCount,wpIdx,distToWp,tcode,vcode,stuck,note
20,0,1,1370,-725,3.210,0.0,1,0,11,2,642,7,3,10,
30,0,1,1364,-703,3.160,18.2,1,0,11,2,634,7,3,0,
40,0,1,1333,-701,-3.169,38.2,1,0,11,2,604,7,3,0,
50,0,1,1349,-706,3.171,50.0,1,0,11,2,620,7,3,0,
60,0,1,1285,-705,3.085,56.9,1,0,11,2,555,7,3,0,
70,0,1,1309,-672,3.073,60.4,1,0,11,2,579,7,3,0,
80,0,1,1280,-686,3.087,60.4,1,0,11,2,550,7,3,0,
90,0,1,1214,-700,3.185,60.4,1,0,11,2,484,7,3,0,
100,0,1,1203,-706,3.088,60.4,1,0,11,2,474,7,3,0,
110,0,1,1205,-704,3.182,60.4,1,0,11,2,475,7,3,0,
120,0,1,1166,-709,3.055,60.4,1,0,11,2,437,7,3,0,
130,0,1,1112,-719,3.180,60.4,1,0,11,2,384,7,3,0,
140,0,1,1101,-724,3.192,60.4,1,0,11,2,374,7,3,0,
150,0,1,1051,-723,3.203,60.4,1,0,11,2,324,7,3,0,
160,0,1,1041,-728,3.194,60.4,1,0,11,2,314,6,3,0,
170,0,1,1053,-679,3.192,60.4,1,0,11,2,323,7,3,0,
180,0,1,1023,-680,3.110,60.4,1,0,11,2,293,7,3,0,
190,0,1,984,-724,3.093,60.4,1,0,11,3,512,4,3,0,
200,0,1,945,-694,3.065,60.4,1,0,11,3,466,4,3,0,
210,0,1,949,-726,3.031,60.4,1,0,11,3,497,4,3,0,
220,0,1,905,-672,2.977,60.4,1,0,11,3,430,4,3,0,
230,0,1,899,-695,2.948,60.4,1,0,11,3,448,4,3,0,
240,0,1,855,-652,2.888,60.4,1,0,11,3,393,4,3,0,
250,0,1,831,-679,2.844,60.4,1,0,11,3,411,4,3,0,
260,0,1,833,-683,2.724,60.4,1,0,11,3,416,5,3,0,
270,0,1,777,-626,2.659,60.4,1,0,11,3,349,5,3,0,
280,0,1,790,-634,2.681,60.4,1,0,11,3,359,5,3,0,
290,0,1,755,-627,2.631,60.4,1,0,11,3,348,4,3,0,
300,0,1,700,-599,2.575,60.4,1,0,11,3,320,4,3,0,
310,0,1,688,-576,2.412,60.4,1,0,11,3,299,4,3,0,
320,0,1,665,-575,2.367,60.4,1,0,11,3,302,4,3,0,
330,0,1,708,-533,2.314,60.4,1,0,11,4,594,8,3,0,
340,0,1,688,-539,2.308,60.4,1,0,11,4,579,8,3,0,
350,0,1,661,-470,2.325,60.4,1,0,11,4,527,8,3,0,
360,0,1,661,-468,2.339,60.4,1,0,11,4,526,8,3,0,
370,0,1,701,-451,2.531,60.4,1,0,11,4,558,8,3,0,
380,0,1,655,-414,2.472,60.4,1,0,11,4,504,8,3,0,
390,0,1,625,-424,2.498,60.4,1,0,11,4,477,8,3,0,
400,0,1,651,-353,2.527,60.4,1,0,11,4,487,8,3,0,
410,0,1,616,-360,2.555,60.4,1,0,11,4,453,8,3,0,
420,0,1,599,-306,2.606,60.4,1,0,11,4,430,8,3,0,
430,0,1,555,-331,2.640,60.4,1,0,11,4,389,8,3,0,
440,0,1,525,-292,2.668,60.4,1,0,11,4,355,8,3,0,
450,0,1,505,-303,2.701,60.4,1,0,11,4,336,8,3,0,
460,0,1,516,-297,2.671,60.4,1,0,11,4,346,8,3,0,
470,0,1,477,-234,2.713,60.4,1,0,11,4,310,8,3,0,
480,0,1,441,-260,2.738,60.4,1,0,11,4,272,8,3,0,
490,0,1,418,-217,2.729,60.4,1,0,11,4,256,9,3,0,
500,0,1,444,-230,2.780,60.4,1,0,11,5,527,11,3,0,
510,0,1,383,-182,2.935,60.4,1,0,11,5,541,10,3,0,
520,0,1,349,-221,2.996,60.4,1,0,11,5,492,10,3,0,
530,0,1,373,-183,3.043,60.4,1,0,11,5,537,10,3,0,
540,0,1,327,-200,3.121,60.4,1,0,11,5,505,10,3,0,
550,0,1,269,-170,3.190,60.4,1,0,11,5,519,10,3,0,
560,0,1,262,-223,-3.007,60.4,1,0,11,5,466,10,3,0,
570,0,1,216,-198,-3.053,60.4,1,0,11,5,484,11,3,0,
580,0,1,201,-202,-2.985,60.4,1,0,11,5,479,10,3,0,
590,0,1,166,-222,-2.916,60.4,1,0,11,5,458,10,3,0,
600,0,1,171,-223,-2.786,60.4,1,0,11,5,457,10,3,0,
610,0,1,171,-204,-2.698,60.4,1,0,11,5,476,10,3,0,
620,0,1,152,-237,-2.603,60.4,1,0,11,5,444,10,3,0,
630,0,1,157,-277,-2.511,60.4,1,0,11,5,403,9,3,0,
640,0,1,141,-252,-2.403,60.4,1,0,11,5,429,9,3,0,
650,0,1,145,-281,-2.315,60.4,1,0,11,5,400,9,3,0,
